,ymd,hour,data_source,sum(total_bytes)
657,2019-08-31,13,conda-forge,236574750107
658,2018-08-28,11,conda-forge,245912871
659,2018-10-27,13,pyviz,13737
660,2018-08-08,14,anaconda,956089856084
661,2018-10-06,16,conda-forge,213990673
662,2017-11-07,6,conda-forge,61123245
663,2017-08-06,5,conda-forge,20012171
664,2019-07-16,17,pyviz,388011
665,2018-06-05,11,bioconda,3968979
666,2018-11-16,17,conda-forge,288866255
667,2019-05-08,7,anaconda,2069154055471
668,2016-12-19,20,anaconda,177446882132
669,2016-12-23,16,anaconda,120905953991
670,2019-01-16,20,conda-forge,233861890801
671,2018-08-27,14,anaconda,827514214199
